Name,Internal ID,BC SKU,Display Name,Description,Purchase Description,Vendor Name,Store Display Name,Store Description,Primary Units Type,Primary Stock Unit,Primary Purchase Unit,Primary Sale Unit,Purchase Price
187904PVOP,5315,187904PVOP,White Lightning Vodka MAX 1750ml 6/ca c/w Potter's Vodka,"White Lightning Vodka MAX 1750ml 6/ca c/w Potter's Vodka 
",,,,,Case(6),Case(6),Case(6),Case(6),
167310,5316,167310,White Lightning Vodka MAX 750ml 12/cs + Potter's Vodka 50ml onpack,"White Lightning Vodka MAX 750ml 12/cs + Potter's Vodka 50ml onpack 
",,,,,Case(12),Case(12),Case(12),Case(12),
14,5317,,Wild Cinnamon Whisky 50ml Sample 200/case,"Wild Cinnamon Whisky 50ml Sample 200/case 
",,,,,Case(200),Case(200),Case(200),Case(200),
ecoSpirits,5319,,ecoSpirits,ecoSpirits Invenotry,,,,,,,,,
894103,5321,,Century Reserve Beer Cask 11 Year Wheat,"Century Reserve Beer Cask 11 Year Wheat 
",,,,,Case(6),Case(6),Case(6),Case(6),
894102,5322,,Century Reserve Beer Cask 8 Year Old Rye,"Century Reserve Beer Cask 11 Year Wheat 
",,,,,Case(6),Case(6),Case(6),Case(6),
ECO-BRAND PLATE HWR,5327,,eco - Brand Plate Highwood Rum,"eco - Brand Plate Highwood Rum 
",,,,,,,,,
ECO-GASKET,5328,,eco - Gasket,"eco - Gasket 
 
",,,,,,,,,
ECO-POURING SPOUT,5329,,eco - Pouring Spout Set 3.1,"eco - Pouring Spout Set 3.1 
 
 
",,,,,,,,,
ECO-SMART POUR 1.1S,5330,,ECO-SMART POUR 1.1S,"ECO-SMART POUR 1.1S 
 
 
 
",,,,,,,,,
ECO-TAMPER EVIDENT SEAL,5331,,,"ECO-TAMPER EVIDENT SEAL 
 
 
 
 
",,,,,,,,,
ECO-BRAND PLATE CH5,5332,,eco-Brand Plate Caldera Hurricane 5,"ECO-BRAND PLATE CH5 
 
 
 
 
 
",,,,,,,,,
ECO-BRAND PLATE HWV,5333,,eco-Brand Plate Highwood Vodka,"eco-Brand Plate Highwood Vodka 
 
 
 
 
 
 
",,,,,,,,,
ECO-BRAND PLATE MACKINTOSH W,5334,,eco-Brand Plate Mackintosh Whisky,"eco-Brand Plate Mackintosh Whisky 
 
 
 
 
 
 
 
",,,,,,,,,
ECO-BRAND PLATE SDG,5335,,eco-brand plate sahara dry gin,"eco-brand plate sahara dry gin 
 
 
 
 
 
 
 
 
",,,,,,,,,
ECO-BRAND PLATE HWW,5336,,eco-Brand Plates Highwood Whisky,"eco-Brand Plates Highwood Whisky 
 
 
 
 
 
 
 
 
",,,,,,,,,
ECO-BRAND PLATE LOS ARCOS,5337,,eco-Brand Plates Los Arcos El Valle,"eco-Brand Plates Los Arcos El Valle 
 
 
 
 
 
 
 
 
 
",,,,,,,,,
ECO-GLASS INSERT,5338,,eco-Glass Insert,"eco-Glass Insert 
 
 
 
 
 
 
 
 
 
 
",,,,,,,,,
ECO-SMARTPOUR2.0S,5339,,eco-Smart Pour 2.0S,"eco-Smart Pour 2.0S 
 
 
 
 
 
 
 
 
 
 
 
",,,,,,,,,
ECO-TOTECAP,5340,,eco-Tote Cap,"eco-Tote Cap 
 
 
 
 
 
 
 
 
 
 
 
",,,,,,,,,
103787,5341,,Foothills Gluten Free Vodka Eco Tote 4.5L,"Foothills Gluten Free Vodka Eco Tote 4.5L 
",,,,,Each,Each,Each,Each,
894714,5342,,Highwood Vodka Eco Tote 4.5L,"Highwood Vodka Eco Tote 4.5L 
 
",,,,,Each,Each,Each,Each,
894710,5343,,Highwood Whisky Eco Tote 4.5L,"Highwood Whisky Eco Tote 4.5L 
 
",,,,,Each,Each,Each,Each,
894717,5344,,Highwood White Rum Eco Tote 4.5L,"Highwood White Rum Eco Tote 4.5L 
",,,,,Each,Each,Each,Each,
895863,5345,,Sahara Dry Gin Eco Tote 4.5L,"Sahara Dry Gin Eco Tote 4.5L 
 
",,,,,Each,Each,Each,Each,
103785,5346,,White Owl Whisky Eco Tote 4.5L,"White Owl Whisky Eco Tote 4.5L 
 
 
",,,,,Each,Each,Each,Each,
DWB/BLUE SPIKE,5347,,Blue Spike Domestic Whisky Blend 3 YR,"Blue Spike Domestic Whisky Blend 3 YR 
",Ceili's Cream Blend,,,,Volume(LAA's),LAA,LAA,LAA,
WILD ROSE 11YR WHEAT,5348,,Century Reserve Beer Cask 11 Year Wheat BLEND,"Century Reserve Beer Cask 11 Year Wheat BLEND 
",Ceili's Cream Blend,,,,Volume(LAA's),LAA,LAA,LAA,
WILD ROSE 8YR RYE,5349,,Century Reserve Beer Cask 8 Year Rye Blend,Century Reserve Beer Cask 8 Year Rye Blend,Ceili's Cream Blend,,,,Volume(LAA's),LAA,LAA,LAA,
DWB/BLUESPIKE,5350,,Domestic Whisky Blend - Blue Spike 6 YR,"Domestic Whisky Blend - Blue Spike 6 YR 
",Ceili's Cream Blend,,,,Volume(LAA's),LAA,LAA,LAA,
NGS/CEAPRO,5351,,Neutral Grain Spirit Ethanol (96.01%),"Neutral Grain Spirit Ethanol (96.01%) 
 
",Ceili's Cream Blend,,,,Volume(LAA's),LAA,LAA,LAA,
73635,5352,,Highwood Whisky 750ml 12/cs,"Highwood Whisky 750ml 12/cs 
",,,,,Case(12),Case(12),Case(12),Case(12),
886522,5353,,Great Plains Jerez Congac 22/yr 750ml 6/cs,"Great Plains Jerez Congac 22/yr 750ml 6/cs 
",,,,,Case(6),Case(6),Case(6),Case(6),
80099336,5354,,Hand Sanitizer 750ml,"Hand Sanitizer 750ml 
",,,,,Case(12),Case(12),Case(12),Case(12),
